CCAA,Sexo,Tipo_Centro,Usuario_Experto_Pct,Usuario_Avanzado_Pct,Usuario_Basico_Pct,No_Usuario_Pct,Suma_pct,Desviacion_pp
Andalucía,Total,Centro Privado,16.772011532490573,59.658460856065645,23.059436682191173,0.0,99.48990907074739,-0.5100909292526126
Andalucía,Hombres,Centro Privado,17.65712330329645,59.644119995437435,21.6607733546253,0.0,98.96201665335919,-1.0379833466408144
Aragón,Total,Total,14.822111484528914,63.58790126318229,20.30362730327964,0.0,98.71364005099085,-1.286359949009153
Aragón,Total,Centro Público,13.347256502752991,0.07594456047085628,17.486235048414656,0.0,30.909436111638506,-69.09056388836149
Aragón,Total,Centro Privado,17.162403331350387,0.0594883997620464,24.71743010113028,0.0,41.93932183224271,-58.06067816775729
Aragón,Hombres,Total,0.023245002324500233,0.0697350069735007,15.364946536494653,0.0,15.457926545792654,-84.54207345420734
Aragón,Hombres,Centro Público,22.213740458015266,0.07633587786259542,13.320610687022901,0.0,35.61068702290076,-64.38931297709924
Aragón,Hombres,Centro Privado,27.170035671819264,53.091557669441144,18.489892984542212,0.0,98.75148632580262,-1.2485136741973832
Aragón,Mujeres,Total,5.546568061012248,0.06933210076265311,0.023110700254217704,0.0,5.639010862029119,-94.36098913797088
Aragón,Mujeres,Centro Público,4.533434076312807,0.07555723460521345,21.609369097091047,0.0,26.21836040800907,-73.78163959199094
Aragón,Mujeres,Centro Privado,7.142857142857143,58.333333333333336,30.952380952380953,0.0,96.42857142857143,-3.5714285714285694
"Asturias, Principado de",Total,Centro Público,18.78159757330637,0.05055611729019211,22.295247724974722,0.5561172901921132,41.6835187057634,-58.3164812942366
"Asturias, Principado de",Total,Centro Privado,13.024475524475525,0.08741258741258741,20.41083916083916,0.0,33.52272727272727,-66.47727272727272
"Asturias, Principado de",Hombres,Total,25.61576354679803,0.06568144499178982,15.697865353037766,0.722495894909688,42.10180623973727,-57.89819376026273
"Asturias, Principado de",Hombres,Centro Público,27.661795407098122,0.05219206680584551,13.830897703549061,1.1482254697286012,42.69311064718163,-57.30688935281837
"Asturias, Principado de",Mujeres,Total,8.158799624882775,0.06251953735542357,27.227258518286966,0.0,35.44857768052516,-64.55142231947484
"Asturias, Principado de",Mujeres,Centro Público,10.441176470588236,0.049019607843137254,30.245098039215687,0.0,40.73529411764706,-59.26470588235294
"Balears, Illes",Total,Total,14.783335655566393,62.83962658492406,21.833635223631045,0.0,99.4565974641215,-0.5434025358784993
"Balears, Illes",Total,Centro Público,15.160567587752054,0.04978839930296241,24.819517052526763,0.0,40.02987303958178,-59.97012696041822
"Balears, Illes",Total,Centro Privado,14.30379746835443,0.06329113924050633,18.037974683544302,0.0,32.40506329113924,-67.59493670886076
"Balears, Illes",Hombres,Total,23.072429906542055,0.05841121495327103,18.16588785046729,0.0,41.296728971962615,-58.703271028037385
"Balears, Illes",Hombres,Centro Público,24.086818422445738,0.05293806246691371,21.492853361566965,0.0,45.63260984647962,-54.36739015352038
"Balears, Illes",Hombres,Centro Privado,21.824104234527688,61.56351791530945,14.071661237785015,0.0,97.45928338762215,-2.5407166123778495
"Balears, Illes",Mujeres,Total,7.247535305089262,0.07993605115907274,25.153210764721557,0.0,32.48068212096989,-67.51931787903011
"Balears, Illes",Mujeres,Centro Público,7.2368421052631575,0.046992481203007516,27.772556390977442,0.0,35.056390977443606,-64.94360902255639
"Balears, Illes",Mujeres,Centro Privado,7.2615384615384615,0.06153846153846154,21.723076923076924,0.0,29.046153846153846,-70.95384615384616
Canarias,Total,Centro Privado,7.619047619047619,0.07518796992481203,24.536340852130326,0.0,32.230576441102755,-67.76942355889724
Canarias,Hombres,Centro Privado,12.306900102986612,0.05149330587023687,16.94129763130793,0.0,29.299691040164777,-70.70030895983523
Canarias,Mujeres,Total,2.696965913347484,0.06242976651267324,0.037457859907603946,0.0,2.796853539767761,-97.20314646023223
Canarias,Mujeres,Centro Público,2.533132024828049,0.06710283509478275,0.033551417547391375,0.0,2.6337862774702234,-97.36621372252978
Canarias,Mujeres,Centro Privado,3.173828125,0.048828125,31.73828125,0.0,34.9609375,-65.0390625
Cantabria,Total,Total,15.744570837642192,0.05170630816959669,21.328852119958636,0.25853154084798347,37.38366080661841,-62.61633919338159
Cantabria,Total,Centro Público,16.81893687707641,0.04152823920265781,21.428571428571427,0.0,38.2890365448505,-61.7109634551495
Cantabria,Total,Centro Privado,13.972602739726028,63.49315068493151,21.164383561643834,0.684931506849315,99.31506849315069,-0.6849315068493098
Cantabria,Hombres,Total,24.295233213736545,0.051255766273705795,16.35058944131215,0.5125576627370579,41.209636084059454,-58.790363915940546
Cantabria,Hombres,Centro Privado,21.13821138211382,61.78861788617886,14.498644986449865,0.0013550135501355014,97.42682926829269,-2.5731707317073074
Cantabria,Mujeres,Total,7.042253521126761,0.05216484089723526,26.395409494001044,0.0,33.48982785602504,-66.51017214397496
Castilla - La Mancha,Total,Total,20.457730032695004,55.89510909454861,21.678788283178754,0.37365716954694067,98.4052845799693,-1.5947154200306954
Castilla - La Mancha,Total,Centro Público,20.77306944092024,54.23327412670219,22.498519834221433,0.47365304914150386,97.97851645098537,-2.021483549014633
Castilla - La Mancha,Total,Centro Privado,19.279393173198482,0.0632111251580278,18.615676359039192,0.0,37.958280657395704,-62.041719342604296
Castilla - La Mancha,Hombres,Total,30.293019247342716,50.9192760700948,17.17897155989658,0.8043665613329503,99.19563343866704,-0.8043665613329551
Castilla - La Mancha,Hombres,Centro Público,0.036859565057132324,0.055289347585698485,17.600442314780686,1.0320678215997052,18.724659049023224,-81.27534095097678
Castilla - La Mancha,Mujeres,Total,11.925233644859814,0.06230529595015576,0.024922118380062305,0.0,12.012461059190032,-87.98753894080997
Castilla - La Mancha,Mujeres,Centro Público,12.380803501641394,0.06252931061435048,0.03126465530717524,0.0,12.47459746756292,-87.52540253243708
Castilla - La Mancha,Mujeres,Centro Privado,10.135135135135135,0.06142506142506143,21.375921375921376,0.0,31.572481572481575,-68.42751842751842
Castilla y León,Total,Centro Privado,14.820691843859093,0.06347191367819739,0.015867978419549348,0.5712472231037766,15.471278959060616,-84.52872104093939
Castilla y León,Hombres,Centro Público,0.021213406873143825,0.06364022061943148,19.389053882053457,0.0,19.47390750954603,-80.52609249045398
Castilla y León,Hombres,Centro Privado,21.682949889694296,0.06303183107469272,16.89253072801765,1.134572959344469,39.77308540813111,-60.22691459186889
Castilla y León,Mujeres,Total,9.958907420836354,0.0725163161711385,0.024172105390379502,0.0,10.055595842397873,-89.94440415760212
Castilla y León,Mujeres,Centro Público,11.234207968901847,0.07774538386783285,19.397473275024296,0.0,30.709426627793977,-69.29057337220603
Castilla y León,Mujeres,Centro Privado,7.861936720997123,0.06391818472355384,17.99296899968041,0.0,25.918823905401087,-74.08117609459892
Cataluña,Hombres,Total,32.54686018525272,55.04339581358034,10.972941433885202,0.9116767558894319,99.47487418860769,-0.5251258113923143
Cataluña,Hombres,Centro Público,33.44393664308521,51.192637575909345,13.56038314655982,0.9015213172228135,99.09847868277718,-0.9015213172228158
Cataluña,Hombres,Centro Privado,0.03493754913092847,0.06114071097912482,7.363088479343174,0.9171106646868722,8.3762774041401,-91.6237225958599
Cataluña,Mujeres,Centro Privado,8.299877814627335,0.07854773957060569,0.017455053237912375,0.0,8.395880607435853,-91.60411939256414
Comunitat Valenciana,Total,Total,14.071914480077746,63.624878522837705,21.65532879818594,0.0,99.35212180110139,-0.64787819889861
Comunitat Valenciana,Total,Centro Privado,14.2511888984174,65.47906759179855,18.70273641537382,0.0,98.43299290558977,-1.5670070944102292
Comunitat Valenciana,Hombres,Centro Privado,0.0324833522819555,0.064966704563911,12.652265713821667,0.0,12.749715770667533,-87.25028422933246
Comunitat Valenciana,Mujeres,Total,6.444160739254666,67.87038725758404,24.858654021521065,0.0,99.17320201835977,-0.826797981640226
Comunitat Valenciana,Mujeres,Centro Público,8.078535637590756,0.07158196134574088,0.020451988955925964,0.0,8.170569587892423,-91.82943041210757
Comunitat Valenciana,Mujeres,Centro Privado,4.047976011994003,0.07496251874062969,0.029985007496251874,0.0,4.152923538230885,-95.84707646176912
Extremadura,Total,Centro Público,13.413858868404322,0.06357279084551812,0.03178639542275906,0.0,13.5092180546726,-86.4907819453274
Extremadura,Total,Centro Privado,13.741875580315691,0.04642525533890436,22.934076137418757,0.5571030640668524,37.2794800371402,-62.7205199628598
Extremadura,Hombres,Total,20.229197807673145,0.04982561036372696,21.375186846038865,0.29895366218236175,41.9531639262581,-58.0468360737419
Extremadura,Hombres,Centro Público,20.22207267833109,0.06729475100942127,21.332436069986542,0.0,41.62180349932706,-58.37819650067294
Extremadura,Mujeres,Total,7.40072202166065,0.06768953068592058,0.02256317689530686,0.0,7.490974729241878,-92.50902527075812
Extremadura,Mujeres,Centro Público,7.319277108433735,0.060240963855421686,27.981927710843372,0.0,35.36144578313253,-64.63855421686748
Galicia,Total,Centro Público,17.61835923382725,59.37838814600651,22.48825442717745,0.0,99.4850018070112,-0.5149981929887986
Galicia,Total,Centro Privado,16.508178014454167,0.05705591479650057,18.295930011411183,0.0,34.861163940661854,-65.13883605933815
Galicia,Hombres,Centro Público,0.019065776930409915,0.057197330791229746,17.216396568160153,0.0,17.292659675881794,-82.7073403241182
Galicia,Hombres,Centro Privado,21.513183034008406,0.07642338555598013,18.11234237676729,0.0,39.70194879633168,-60.29805120366832
Galicia,Mujeres,Total,9.629017013232515,0.07088846880907372,0.023629489603024575,0.0,9.723534971644613,-90.27646502835539
Galicia,Mujeres,Centro Público,8.758371973209686,0.06869311351537008,0.03434655675768504,0.0,8.861411643482741,-91.13858835651726
Galicia,Mujeres,Centro Privado,11.54865581219235,0.07572889057175312,18.477849299507763,0.0,30.102234002271867,-69.89776599772813
"Madrid, Comunidad de",Total,Centro Público,17.852931465496912,59.350974010659876,21.895193622942315,0.0,99.0990990990991,-0.9009009009008935
"Madrid, Comunidad de",Hombres,Total,30.43811412602542,59.20850987108987,9.492472730550798,0.0,99.1390967276661,-0.8609032723338998
"Madrid, Comunidad de",Hombres,Centro Público,29.910103576314246,54.20168067226891,14.021887824897401,0.0,98.13367207348055,-1.8663279265194461
"Madrid, Comunidad de",Hombres,Centro Privado,0.03346720214190094,0.06693440428380187,5.614123159303882,0.0,5.7145247657295855,-94.28547523427042
"Madrid, Comunidad de",Mujeres,Centro Público,6.601623050971095,0.06382784717789733,0.027354791647670285,0.0,6.692805689796662,-93.30719431020334
"Madrid, Comunidad de",Mujeres,Centro Privado,4.278738723826864,0.06620872299925515,0.02482827112472068,0.0,4.36977571795084,-95.63022428204916
Melilla,Total,Total,17.77777777777778,51.52777777777778,28.194444444444443,0.0008333333333333334,97.50083333333333,-2.4991666666666674
Melilla,Total,Centro Público,20.71197411003236,52.9126213592233,25.40453074433657,0.000970873786407767,99.03009708737864,-0.9699029126213645
Melilla,Total,Centro Privado,0.0,42.15686274509804,45.09803921568628,0.0,87.25490196078431,-12.74509803921569
Melilla,Hombres,Total,22.289156626506024,51.80722891566265,24.397590361445783,0.0018072289156626507,98.49578313253012,-1.5042168674698786
Melilla,Hombres,Centro Público,25.34246575342466,52.054794520547944,20.89041095890411,0.002054794520547945,98.28972602739726,-1.7102739726027352
Melilla,Mujeres,Total,14.175257731958762,51.28865979381443,31.443298969072163,0.0,96.90721649484536,-3.0927835051546424
Melilla,Mujeres,Centro Privado,0.0,37.096774193548384,41.935483870967744,0.0,79.03225806451613,-20.967741935483872
"Murcia, Región de",Total,Centro Privado,14.916979110873058,0.08034279592929834,16.256025709694697,0.0,31.253347616497052,-68.74665238350295
"Murcia, Región de",Hombres,Total,0.01824817518248175,0.05474452554744526,13.558394160583942,1.0218978102189782,14.653284671532848,-85.34671532846716
"Murcia, Región de",Hombres,Centro Público,0.026881720430107527,0.053763440860215055,13.548387096774194,1.5053763440860215,15.134408602150538,-84.86559139784946
"Murcia, Región de",Hombres,Centro Privado,21.988636363636363,0.056818181818181816,13.579545454545455,0.0,35.625,-64.375
"Murcia, Región de",Mujeres,Total,6.591058514135438,0.06574621959237344,0.01643655489809336,0.0,6.6732412886259045,-93.3267587113741
"Murcia, Región de",Mujeres,Centro Público,5.62043795620438,0.072992700729927,21.94647201946472,0.0,27.63990267639903,-72.36009732360097
"Murcia, Región de",Mujeres,Centro Privado,8.611955420466058,0.05065856129685917,18.693009118541035,0.0,27.35562310030395,-72.64437689969606
"Navarra, Comunidad Foral de",Total,Total,12.16378964271377,0.060216780409474105,18.62705740666399,0.3010839020473705,31.152147731834603,-68.8478522681654
"Navarra, Comunidad Foral de",Total,Centro Público,10.393646408839778,0.06906077348066299,20.027624309392266,0.0,30.49033149171271,-69.50966850828729
"Navarra, Comunidad Foral de",Total,Centro Privado,14.669223394055608,0.04793863854266539,16.682646212847555,0.7190795781399808,32.11888782358581,-67.88111217641419
"Navarra, Comunidad Foral de",Hombres,Total,15.895124948791478,0.0819336337566571,19.25440393281442,0.6145022531749283,35.845964768537485,-64.15403523146252
"Navarra, Comunidad Foral de",Hombres,Centro Público,13.027916964924838,63.77952755905512,22.04724409448819,0.0,98.85468861846815,-1.1453113815318545
"Navarra, Comunidad Foral de",Hombres,Centro Privado,19.731800766283524,61.877394636015325,15.517241379310345,1.4367816091954022,98.5632183908046,-1.4367816091954069
"Navarra, Comunidad Foral de",Mujeres,Total,8.579299488390397,0.07870916961826052,18.06375442739079,0.0,26.72176308539945,-73.27823691460055
"Navarra, Comunidad Foral de",Mujeres,Centro Público,7.938625750500334,0.066711140760507,18.212141427618413,0.0,26.21747831887925,-73.78252168112076
País Vasco,Total,Centro Público,8.559046587215601,0.0773874013310633,0.015477480266212661,0.0,8.651911468812877,-91.34808853118713
País Vasco,Hombres,Total,0.02720348204570185,0.06800870511425462,9.98367791077258,0.0,10.078890097932536,-89.92110990206746
País Vasco,Hombres,Centro Público,15.019255455712452,0.06418485237483953,7.862644415917844,0.0,22.946084724005136,-77.05391527599487
País Vasco,Hombres,Centro Privado,0.023607176581680833,0.0708215297450425,11.543909348441927,0.0,11.638338054768651,-88.36166194523135
País Vasco,Mujeres,Total,7.546918674297884,0.0665513110608279,0.01331026221216558,0.0,7.626780247570878,-92.37321975242912
País Vasco,Mujeres,Centro Público,2.571001494768311,0.059790732436472344,23.079222720478327,0.0,25.71001494768311,-74.2899850523169
País Vasco,Mujeres,Centro Privado,11.540307101727446,0.07197696737044146,17.106525911708253,0.0,28.718809980806142,-71.28119001919386
"Rioja, La",Total,Total,18.606870229007633,0.04770992366412214,24.09351145038168,0.0,42.74809160305344,-57.25190839694656
"Rioja, La",Total,Centro Público,21.170809943865276,54.21010425020048,24.057738572574177,0.0,99.43865276663993,-0.5613472333600669
"Rioja, La",Hombres,Total,27.10843373493976,52.30923694779116,19.779116465863453,0.0,99.19678714859438,-0.8032128514056183
"Rioja, La",Hombres,Centro Público,28.716216216216218,52.53378378378378,17.56756756756757,0.0,98.81756756756756,-1.1824324324324351
